set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
60345-1,Farmers Market Van,49.99,40.23,63,,32.54,7,1.243,,healthy
71046-1,Spacewalking Astronaut,,4.34,19,8.29,,0,,,healthy
75385-1,Battle on Peridea,49.86,48.14,100,,37.63,15,1.036,,healthy
60418-1,Police Mobile Crime Lab Truck,69.40,50.28,14,,40.49,2,1.380,,healthy
76275-1,Motorcycle Chase: Spider-Man vs. Doc Ock,18.72,10.89,40,,5.00,1,1.719,,healthy
75390-1,Luke Skywalker’s X-Wing Mech,20.43,11.59,57,,10.41,2,1.762,,healthy
10339-1,Santa's Post Office,139.99,112.75,101,,92.07,3,1.242,,healthy
71047-4,Dragonborn Paladin,,,,12.45,,,,,error/not-found
76270-1,Batman Mech Armor,15.95,11.74,17,,6.99,1,1.358,,healthy
60439-1,Space Science Lab,57.79,46.28,26,,31.53,5,1.249,,healthy
40566-1,Ray the Castaway,,24.78,83,18.55,18.33,7,,1.012,healthy
40573-1,Christmas Tree,,31.19,28,33.03,25.83,6,,1.279,healthy
5008074-1,Buildable Grey Castle,20.00,23.86,28,,20.93,1,0.838,,healthy
76277-1,War Machine Mech Armor,17.80,10.14,35,,8.56,7,1.755,,healthy
76426-1,Hogwarts Castle Boathouse,52.00,42.77,133,,29.37,10,1.216,,healthy
76432-1,Forbidden Forest: Magical Creatures,31.99,27.42,53,,17.27,2,1.167,,healthy
40751-1,Legolas & Gimli,34.98,29.64,90,,21.73,3,1.180,,healthy
71046-6,Nurse Android,,,,4.54,,,,,error/not-found
76413-1,Hogwarts: Room of Requirement,54.40,47.81,36,,35.49,8,1.138,,healthy
30570-1,Wildlife Rescue Hovercraft,,4.16,62,2.22,3.08,3,,0.720,healthy
10302-1,Optimus Prime,,140.10,27,149.39,99.28,12,,1.505,healthy
75397-1,Jabba's Sail Barge,499.99,384.28,28,,352.78,5,1.301,,healthy
71034-2,Sugar Fairy,12.98,65.67,52,3.56,54.85,6,0.198,0.065,healthy
75321-1,The Razor Crest Microfighter,10.61,10.00,42,7.85,6.82,14,1.061,1.152,healthy
71037-5,Falconer,,,,12.02,,,,,error/not-found
40601-1,Majisto's Magical Workshop,35.71,31.62,207,,25.08,10,1.129,,healthy
71807-1,Sora's Elemental Tech Mech,28.91,17.62,39,,11.77,7,1.640,,healthy
242401-1,War Machine,6.24,4.55,58,,,0,1.371,,healthy
60434-1,Space Base and Rocket Launchpad,140.00,111.57,19,,87.00,2,1.255,,healthy
76292-1,Captain America vs. Red Hulk Battle,49.00,36.39,19,,30.00,1,1.347,,healthy
60279-1,Fire Hazard Truck,,10.24,17,7.00,4.76,3,,1.469,healthy
40580-1,Blacktron Cruiser,42.99,38.34,136,,32.83,5,1.121,,healthy
71034-11,Knight of the Yellow Castle,,,,8.49,,,,,error/not-found
76424-1,Flying Ford Anglia,14.99,12.28,26,,9.84,4,1.220,,healthy
60412-1,4x4 Fire Engine with Rescue Boat,35.00,24.75,6,,14.66,2,1.414,,sparse
10338-1,Bumblebee,,68.41,12,74.69,50.63,2,,1.475,healthy
42637-1,Friends Advent Calendar 2024,,29.98,2,27.52,,0,,,sparse
76423-1,Hogwarts Express & Hogsmeade Station,109.95,107.52,21,,68.71,7,1.023,,healthy
71038-3,Jiminy Cricket,,,,4.00,,,,,error/not-found
70841-1,Benny's Space Squad,,35.85,107,27.17,24.33,15,,1.117,healthy
10332-1,Medieval Town Square,,260.50,113,268.59,215.49,14,,1.246,healthy
